000000	apiece
000000	billion
000000	trillion
000001	mph
000001	million
000001	p.m.
000010	cents
000010	cent
0000110	pesetas
0000110	kronor
0000110	rand
0000110	rubles
0000110	cubic
0000110	lire
0000110	yen
0000111	gallons
0000111	\*
0000111	franc
0000111	guilders
0000111	ounces
0000111	respectively
0000111	pounds
0000111	acres
0000111	pages
0000111	barrels
0000111	annually
0000111	marks
0000111	francs
0000111	tons
000100	year
0001010	week
0001011	month
0001011	spring
00011000	months
000110010	years
000110010	inches
000110011	generations
000110011	surveys
000110011	sessions
000110011	thousand
000110011	disasters
000110011	hundred
000110011	decades
000110011	weeks
000110011	quarters
000110100	point
000110100	roll
000110101	editorial-page
000110101	cabernet
000110101	page-one
000110101	1\/2-year
000110101	p.m
000110101	points
000110101	a.m.
000110110	equaling
000110110	days
000110111	centuries
000110111	pennies
000110111	yards
000110111	cans
000110111	bags
000110111	seconds
000110111	classes
000110111	minutes
000110111	miles
000110111	feet
000110111	pence
000110111	hours
0001110	yorker
0001110	orleans
0001110	zealand
0001110	york-based
0001110	hampshire
0001110	jersey
0001110	york
000111100	earlier
000111101	ago
0001111100	example
0001111100	instance
0001111101	renewal
0001111101	unanticipated
0001111101	theatrical
0001111101	re-election
0001111101	landfill
0001111101	trans
0001111101	overnight
0001111101	delivery
0001111101	employment
0001111110	estate
0001111110	texans
0001111111	s.c
0001111111	s.c.
0001111111	n.c
0001111111	pa
0001111111	n.c.
0001111111	angeles-based
0001111111	ky.
0001111111	alto
0001111111	angeles
0001111111	d.c.
0010	N
00110	hk$
00110	m$
00110	a$
00110	c$
00110	$
00110	#
0011100	this
00111010	last
001110110	next
001110111	balloting
001110111	preceding
001110111	19th
001110111	20th
001110111	past
001111000	swung
001111000	sagged
001111000	leaped
001111000	retreated
001111000	slumped
001111000	plummeted
001111000	eased
001111000	soared
001111000	slipped
001111000	surged
001111000	plunged
001111000	dropped
001111000	jumped
001111000	gained
0011110010	slid
0011110010	climbed
0011110010	rose
0011110011	skidded
0011110011	firmed
0011110011	sank
0011110011	tumbled
0011110011	fell
0011110011	grew
001111010	dated
001111010	payable
001111010	due
001111011	wsj
001111011	ended
001111011	ending
001111100	september
001111100	august
001111100	january
0011111010	ft-se
0011111010	february
0011111010	july
0011111010	march
0011111010	june
0011111010	april
0011111011	refined
0011111011	november
0011111011	december
0011111011	october
0011111100	feb.
0011111100	jan.
0011111100	dec.
0011111100	nov.
0011111101	chromosome
0011111101	aug.
0011111101	no.
0011111101	sept.
0011111101	oct.
0011111110	aged
0011111110	proposition
0011111110	c.d.s
0011111110	eurodollars
0011111110	bank-backed
0011111110	tariff
0011111110	acceptances
0011111110	us$
0011111110	advanced
0011111110	chapter
0011111111	post-crash
0011111111	tumultuous
0011111111	centennial
0011111111	fiscal
0011111111	cs
010000000	splitting
010000000	drum
010000000	scare
010000000	pump
010000000	ring
010000000	hang
010000000	lure
010000000	shake
010000000	shore
010000000	breaking
010000000	draw
010000000	catch
010000000	clean
010000000	pick
010000000	push
010000000	break
010000000	fight
010000000	turn
0100000010	dismiss
0100000010	alert
0100000010	ride
0100000010	wait
0100000010	pass
0100000010	follow
0100000010	reach
0100000010	play
0100000010	hold
0100000011	tops
0100000011	salvage
0100000011	cloud
0100000011	shrink
0100000011	grab
0100000011	haul
0100000011	fits
0100000011	weaken
0100000011	idle
0100000011	shape
0100000011	fit
0100000011	match
0100000011	run
0100000011	complete
010000010	brushed
010000010	racked
010000010	creeping
010000010	shaping
010000010	lined
010000010	stripped
010000010	cleaning
010000010	discounted
010000010	snapped
010000010	wind
010000010	picking
010000010	picked
010000010	edged
010000010	shot
010000010	setting
010000010	set
0100000110	loaded
0100000110	tighten
0100000110	cure
0100000110	stepping
0100000110	revived
0100000110	throw
0100000110	pull
0100000110	put
0100000110	beat
0100000111	update
0100000111	zip
0100000111	bounce
0100000111	spun
0100000111	hedge
0100000111	breaks
0100000111	lease
0100000111	cut
0100000111	shut
0100001000	dip
0100001000	shy
0100001000	translate
0100001000	lie
0100001000	speak
0100001000	walk
0100001000	sit
0100001000	fly
0100001000	go
0100001000	stay
0100001001	disappeared
0100001001	differ
0100001001	soar
0100001001	resign
0100001001	erode
0100001001	die
0100001001	emerge
0100001001	occur
0100001001	suffer
0100001001	come
0100001001	happen
0100001010	buckle
0100001010	intervene
0100001010	kick
0100001010	tilt
0100001010	lag
0100001010	finish
0100001010	lock
0100001010	slip
0100001010	stick
0100001010	stands
0100001010	succeed
0100001010	grow
0100001010	fall
0100001011	plummet
0100001011	walks
0100001011	passes
0100001011	cushion
0100001011	reserved
0100001011	acted
0100001011	drag
0100001011	earning
0100001011	climb
0100001011	looked
0100001011	look
0100001011	stand
010000110	specialize
010000110	incur
010000110	employ
010000110	float
010000110	interfere
010000110	testify
010000110	cooperate
010000110	arrive
010000110	comply
010000110	engage
010000110	cope
010000110	reopen
010000110	proceed
010000110	participate
010000110	retire
010000110	compete
010000110	expire
010000110	resume
010000110	invest
010000110	remain
010000110	begin
0100001110	cater
0100001110	devote
0100001110	sacrifice
0100001110	react
0100001110	listen
0100001110	refuse
0100001110	contribute
0100001110	choose
0100001110	respond
0100001110	prove
0100001110	appear
0100001110	seek
0100001110	try
0100001111	manpower
0100001111	conform
0100001111	subscribe
0100001111	combine
0100001111	lend
0100001111	fail
0100001111	manage
0100001111	continue
0100001111	apply
010001000	fool
010001000	capitalize
